id;token;estado_flujo;evento_seleccionado;ultima_actividad;expira_en
1;so motor catch;nervously direct strong;11830;2025-11-11;2025-11-12
2;boo ha firm;hoarse;18223;2025-11-12;2025-11-12
3;private;along;8364;2025-11-12;2025-11-12
4;instead measly;creaking a tomorrow;5153;2025-11-12;2025-11-12
5;readily;midwife;29386;2025-11-12;2025-11-12
6;schlep;shirk;24280;2025-11-12;2025-11-12
7;greatly aw;yet;26490;2025-11-12;2025-11-11
8;gah pine;circa;27231;2025-11-12;2025-11-12
9;seriously promptly harangue;design angle;1959;2025-11-12;2025-11-12
10;hence astride programme;cafe;23303;2025-11-12;2025-11-12
