id;titulo;fecha;resumen;precio_entrada
1;lone legal;2025-11-11;minus bathhouse meatloaf;26035.58
2;tired;2025-11-10;stark outset;28180.84
3;never;2025-11-11;obstruct fearless hm;199.73
4;forenenst ouch midst;2025-11-11;consequently community;24035.87
5;thoughtfully;2025-11-11;youthfully soon throughout;23287.29
6;begonia or;2025-11-11;yahoo;514.62
7;who councilman;2025-11-11;famously ultimately;6060.85
8;boastfully even since;2025-11-11;mild bah frankly;21835.91
9;gadzooks mmm making;2025-11-11;though hm accidentally;14875.58
10;boo hydrocarbon;2025-11-10;sore forenenst;1681.8
